Soil Moisture,Rainfall,Humidity,Temperature,Crop Type,Water Flow Percent,Irrigation Duration (mins)
6.35,216.0803772,80.0,25,Rabi,0.0,0.0
0.98,206.1849013,77.0,26,Rabi,0.0,0.0
31.54,28.7262596,74.0,27,Rabi,0.0,0.0
15.87,276.7717215,71.0,28,Rabi,0.0,0.0
2.45,170.5416606,68.0,29,Rabi,0.0,0.0
4.77,109.1176563,65.0,30,Rabi,0.0,0.0
31.31,226.961575,62.0,31,Rabi,0.0,0.0
3.58,77.20963752,59.0,32,Rabi,75.48,37.74
3.72,208.0529511,56.0,33,Rabi,0.0,0.0
6.57,11.91336227,53.0,34,Rabi,79.05,39.52
1.01,251.8224113,50.0,35,Rabi,0.0,0.0
32.29,134.4512541,47.0,36,Rabi,0.0,0.0
16.21,191.0078743,44.0,37,Rabi,0.0,0.0
2.52,66.37134594,41.0,38,Rabi,84.97,42.48
4.89,203.1221138,38.0,39,Rabi,0.0,0.0
32.02,231.6720828,35.0,40,Rabi,0.0,0.0
3.7,141.9639561,32.0,41,Rabi,0.0,0.0
3.83,185.3180772,29.0,42,Rabi,0.0,0.0
6.79,136.8977771,26.0,43,Rabi,0.0,0.0
1.04,268.2274108,23.0,44,Rabi,0.0,0.0
33.03,149.3607542,20.0,45,Rabi,0.0,0.0
16.57,252.5426127,17.0,46,Rabi,0.0,0.0
2.59,240.4056175,80.0,25,Rabi,0.0,0.0
5.03,123.1514464,77.5,26,Rabi,0.0,0.0
32.77,69.02534756,75.0,27,Rabi,0.0,0.0
3.81,121.8246398,72.5,28,Rabi,0.0,0.0
3.95,247.8652127,70.0,29,Rabi,0.0,0.0
5.99,68.28976075,67.5,30,Rabi,70.79,35.4
0.76,157.3309038,65.0,31,Rabi,0.0,0.0
29.62,241.8290244,62.5,32,Rabi,0.0,0.0
12.79,106.0432425,60.0,33,Rabi,0.0,0.0
1.99,192.6628911,57.5,34,Rabi,0.0,0.0
4.07,73.68947221,55.0,35,Rabi,78.31,39.15
29.33,32.78383361,52.5,36,Rabi,0.0,0.0
2.66,238.3152675,50.0,37,Rabi,0.0,0.0
2.88,29.69058702,47.5,38,Rabi,85.21,42.61
5.81,81.41441852,45.0,39,Rabi,81.53,40.77
0.76,256.5328266,42.5,40,Rabi,0.0,0.0
29.73,103.9407861,40.0,41,Rabi,0.0,0.0
10.98,291.9136049,37.5,42,Rabi,0.0,0.0
1.93,293.9203004,35.0,43,Rabi,0.0,0.0
4.1,80.48280614,32.5,44,Rabi,86.2,43.1
26.09,12.29346667,30.0,45,Rabi,0.0,0.0
2.61,211.5189853,27.5,46,Rabi,0.0,0.0
2.91,135.2959508,80.0,25,Rabi,0.0,0.0
5.6,30.22585319,77.3,26,Rabi,68.05,34.02
0.78,212.2568457,74.6,27,Rabi,0.0,0.0
29.55,9.352472734,71.9,28,Rabi,0.0,0.0
11.19,261.0590071,69.2,29,Rabi,0.0,0.0
1.98,41.59575873,66.5,30,Rabi,75.54,37.77
4.19,38.19356362,63.8,31,Rabi,75.23,37.61
23.49,52.70168939,61.1,32,Rabi,0.0,0.0
2.68,288.0799075,58.4,33,Rabi,0.0,0.0
2.99,207.9508081,55.7,34,Rabi,0.0,0.0
5.78,240.4114606,53.0,35,Rabi,0.0,0.0
0.8,119.2904957,50.3,36,Rabi,0.0,0.0
30.19,100.8938183,47.6,37,Rabi,0.0,0.0
11.4,70.34520203,44.9,38,Rabi,76.88,38.44
2.03,144.1944085,42.2,39,Rabi,0.0,0.0
4.3,165.5486201,39.5,40,Rabi,0.0,0.0
23.75,189.5324531,36.8,41,Rabi,0.0,0.0
2.76,77.1355512,34.1,42,Rabi,87.12,43.56
3.07,284.5962243,31.4,43,Rabi,0.0,0.0
5.94,50.92754946,28.7,44,Rabi,86.96,43.48
0.82,289.6959524,26.0,45,Rabi,0.0,0.0
30.83,4.456836752,23.3,46,Rabi,0.0,0.0
11.6,144.3377075,80.0,25,Rabi,0.0,0.0
2.07,100.0103514,78.0,26,Rabi,0.0,0.0
4.41,134.7370242,76.0,27,Rabi,0.0,0.0
24.23,171.1993737,74.0,28,Rabi,0.0,0.0
2.84,130.6767474,72.0,29,Rabi,0.0,0.0
3.16,124.4540551,70.0,30,Rabi,0.0,0.0
6.13,219.8170246,68.0,31,Rabi,0.0,0.0
0.84,205.7628825,66.0,32,Rabi,0.0,0.0
31.48,249.9813846,64.0,33,Rabi,0.0,0.0
11.84,74.98769437,62.0,34,Rabi,69.88,34.94
2.13,182.8585529,60.0,35,Rabi,0.0,0.0
4.51,175.5584356,58.0,36,Rabi,0.0,0.0
24.75,110.9213433,56.0,37,Rabi,0.0,0.0
2.93,145.8172626,54.0,38,Rabi,0.0,0.0
3.25,94.13464299,52.0,39,Rabi,81.54,40.77
6.43,42.55331929,50.0,40,Rabi,82.73,41.36
0.88,64.1403632,48.0,41,Rabi,86.49,43.24
32.74,31.65409392,46.0,42,Rabi,0.0,0.0
12.34,204.9208726,44.0,43,Rabi,0.0,0.0
2.23,198.2182179,42.0,44,Rabi,0.0,0.0
4.72,285.1819115,40.0,45,Rabi,0.0,0.0
