Soil Moisture,Rainfall,Humidity,Temperature,Crop Type,Irrigation Needed
6.35,216.0803772,80.0,25,Zaid,1
0.98,206.1849013,77.0,26,Kharif,1
31.54,28.7262596,74.0,27,Rabi,0
15.87,276.7717215,71.0,28,Rabi,0
2.45,170.5416606,68.0,29,Kharif,1
4.77,109.1176563,65.0,30,Kharif,1
31.31,226.961575,62.0,31,Kharif,0
3.58,77.20963752,59.0,32,Zaid,1
3.72,208.0529511,56.0,33,Rabi,1
6.57,11.91336227,53.0,34,Rabi,1
1.01,251.8224113,50.0,35,Kharif,1
32.29,134.4512541,47.0,36,Kharif,0
16.21,191.0078743,44.0,37,Kharif,0
2.52,66.37134594,41.0,38,Zaid,1
4.89,203.1221138,38.0,39,Rabi,1
32.02,231.6720828,35.0,40,Kharif,0
3.7,141.9639561,32.0,41,Kharif,1
3.83,185.3180772,29.0,42,Rabi,1
6.79,136.8977771,26.0,43,Kharif,1
1.04,268.2274108,23.0,44,Kharif,1
33.03,149.3607542,20.0,45,Rabi,0
16.57,252.5426127,17.0,46,Kharif,0
2.59,240.4056175,80.0,25,Zaid,1
5.03,123.1514464,77.5,26,Kharif,1
32.77,69.02534756,75.0,27,Zaid,0
3.81,121.8246398,72.5,28,Kharif,1
3.95,247.8652127,70.0,29,Kharif,1
5.99,68.28976075,67.5,30,Zaid,1
0.76,157.3309038,65.0,31,Kharif,1
29.62,241.8290244,62.5,32,Rabi,0
12.79,106.0432425,60.0,33,Kharif,0
1.99,192.6628911,57.5,34,Kharif,1
4.07,73.68947221,55.0,35,Zaid,1
29.33,32.78383361,52.5,36,Zaid,0
2.66,238.3152675,50.0,37,Kharif,1
2.88,29.69058702,47.5,38,Zaid,1
5.81,81.41441852,45.0,39,Zaid,1
0.76,256.5328266,42.5,40,Kharif,1
29.73,103.9407861,40.0,41,Rabi,0
10.98,291.9136049,37.5,42,Kharif,0
1.93,293.9203004,35.0,43,Kharif,1
4.1,80.48280614,32.5,44,Rabi,1
26.09,12.29346667,30.0,45,Zaid,0
2.61,211.5189853,27.5,46,Kharif,1
2.91,135.2959508,80.0,25,Zaid,1
5.6,30.22585319,77.3,26,Rabi,1
0.78,212.2568457,74.6,27,Rabi,1
29.55,9.352472734,71.9,28,Zaid,0
11.19,261.0590071,69.2,29,Kharif,0
1.98,41.59575873,66.5,30,Zaid,1
4.19,38.19356362,63.8,31,Zaid,1
23.49,52.70168939,61.1,32,Rabi,0
2.68,288.0799075,58.4,33,Rabi,1
2.99,207.9508081,55.7,34,Kharif,1
5.78,240.4114606,53.0,35,Rabi,1
0.8,119.2904957,50.3,36,Kharif,1
30.19,100.8938183,47.6,37,Rabi,0
11.4,70.34520203,44.9,38,Zaid,1
2.03,144.1944085,42.2,39,Kharif,1
4.3,165.5486201,39.5,40,Kharif,1
23.75,189.5324531,36.8,41,Kharif,0
2.76,77.1355512,34.1,42,Zaid,1
3.07,284.5962243,31.4,43,Kharif,1
5.94,50.92754946,28.7,44,Zaid,1
0.82,289.6959524,26.0,45,Kharif,1
30.83,4.456836752,23.3,46,Zaid,0
11.6,144.3377075,80.0,25,Zaid,0
2.07,100.0103514,78.0,26,Kharif,1
4.41,134.7370242,76.0,27,Rabi,1
24.23,171.1993737,74.0,28,Kharif,0
2.84,130.6767474,72.0,29,Kharif,1
3.16,124.4540551,70.0,30,Rabi,1
6.13,219.8170246,68.0,31,Kharif,1
0.84,205.7628825,66.0,32,Kharif,1
31.48,249.9813846,64.0,33,Kharif,0
11.84,74.98769437,62.0,34,Rabi,1
2.13,182.8585529,60.0,35,Rabi,1
4.51,175.5584356,58.0,36,Kharif,1
24.75,110.9213433,56.0,37,Kharif,0
2.93,145.8172626,54.0,38,Kharif,1
3.25,94.13464299,52.0,39,Zaid,1
6.43,42.55331929,50.0,40,Zaid,1
0.88,64.1403632,48.0,41,Zaid,1
32.74,31.65409392,46.0,42,Rabi,0
12.34,204.9208726,44.0,43,Kharif,0
2.23,198.2182179,42.0,44,Kharif,1
4.72,285.1819115,40.0,45,Kharif,1
25.91,218.9035241,38.0,46,Rabi,0
3.09,15.61375163,80.0,25,Rabi,1
3.43,265.2735522,78.0,26,Rabi,1
6.61,258.8025489,76.0,27,Rabi,1
0.9,132.9960962,74.0,28,Kharif,1
33.36,175.7589152,72.0,29,Kharif,0
12.55,292.8234997,70.0,30,Kharif,0
2.27,159.6913092,68.0,31,Kharif,1
4.82,271.5965485,66.0,32,Kharif,1
26.39,24.91162734,64.0,33,Zaid,0
3.17,57.31556061,62.0,34,Zaid,1
3.51,132.226483,60.0,35,Rabi,1
6.75,175.4270425,58.0,36,Kharif,1
0.92,244.8683556,56.0,37,Rabi,1
33.86,296.4786345,54.0,38,Rabi,0
12.74,116.6554489,52.0,39,Rabi,0
2.31,14.22469084,50.0,40,Rabi,1
4.91,240.351451,48.0,41,Kharif,1
26.83,181.3142157,46.0,42,Kharif,0
3.24,59.56285766,44.0,43,Zaid,1
3.58,148.448537,42.0,44,Kharif,1
6.86,222.6930737,40.0,45,Kharif,1
0.93,231.1235361,38.0,46,Rabi,1
34.1,149.8855236,80.0,25,Rabi,0
12.83,91.56435904,77.0,26,Zaid,1
2.34,292.1227746,74.0,27,Kharif,1
4.95,199.0087833,71.0,28,Kharif,1
26.92,122.4712558,68.0,29,Rabi,0
3.27,84.13896726,65.0,30,Rabi,1
3.61,219.3308949,62.0,31,Kharif,1
7.02,72.65503368,59.0,32,Rabi,1
0.95,51.51299669,56.0,33,Zaid,1
34.69,158.9501667,53.0,34,Kharif,0
13.03,86.99621779,50.0,35,Zaid,1
2.38,188.6715435,47.0,36,Rabi,1
5.04,35.38160246,44.0,37,Zaid,1
27.35,196.4823314,41.0,38,Kharif,0
3.35,84.9889584,38.0,39,Zaid,1
3.7,0.07288033,35.0,40,Zaid,1
7.19,38.0808173,32.0,41,Zaid,1
0.97,280.0846134,29.0,42,Kharif,1
35.28,260.2063917,26.0,43,Rabi,0
13.26,70.08270961,23.0,44,Zaid,1
2.42,233.5115714,20.0,45,Kharif,1
5.14,182.571478,17.0,46,Rabi,1
27.88,291.2714134,80.0,25,Zaid,0
3.41,112.0816979,77.0,26,Kharif,1
3.77,204.4381838,74.0,27,Kharif,1
2.84,19.06071673,71.0,28,Zaid,1
0.51,118.874204,68.0,29,Kharif,1
23.25,289.1452984,65.0,30,Kharif,0
7.96,161.6942623,62.0,31,Rabi,1
1.24,86.363851,59.0,32,Rabi,1
3.04,36.08128894,56.0,33,Zaid,1
18.3,211.0585021,53.0,34,Rabi,0
1.93,193.456813,50.0,35,Kharif,1
2.25,112.1816141,47.0,36,Kharif,1
2.88,285.2824056,44.0,37,Kharif,1
0.52,6.660843896,41.0,38,Rabi,1
23.58,91.11715549,38.0,39,Zaid,0
8.02,276.3208459,35.0,40,Rabi,1
1.26,96.2806315,32.0,41,Rabi,1
3.09,75.67585016,29.0,42,Rabi,1
16.07,160.266123,26.0,43,Rabi,0
1.96,247.140525,23.0,44,Kharif,1
2.29,30.94402826,20.0,45,Rabi,1
2.34,282.9062129,17.0,46,Kharif,1
0.49,238.5218644,80.0,25,Zaid,1
21.32,54.37507667,77.0,26,Zaid,0
7.59,213.6023884,74.0,27,Rabi,1
1.18,115.4876168,71.0,28,Kharif,1
2.9,120.6884034,68.0,29,Kharif,1
14.22,234.9870277,65.0,30,Rabi,0
1.84,288.8354424,62.0,31,Kharif,1
2.13,37.99676185,59.0,32,Zaid,1
2.41,126.1890711,56.0,33,Kharif,1
0.5,144.2824824,53.0,34,Kharif,1
21.72,112.8935451,50.0,35,Rabi,0
7.72,108.9567371,47.0,36,Kharif,1
1.2,15.68060027,44.0,37,Zaid,1
2.97,205.6615862,41.0,38,Kharif,1
14.47,130.8643251,38.0,39,Kharif,0
1.88,58.43814079,35.0,40,Zaid,1
2.18,244.8100507,32.0,41,Rabi,1
2.57,240.7682244,29.0,42,Kharif,1
0.5,145.9174884,26.0,43,Kharif,1
22.9,89.53519834,23.0,44,Zaid,0
7.91,191.4278177,20.0,45,Kharif,1
1.21,86.44564073,17.0,46,Zaid,1
3.02,70.8023791,80.0,25,Zaid,1
15.2,219.1543962,77.3,26,Kharif,0
1.9,12.09757192,74.6,27,Zaid,1
2.22,28.43054131,71.9,28,Zaid,1
2.57,2.036452207,69.2,29,Zaid,1
0.51,45.88295594,66.5,30,Zaid,1
23.16,20.69700261,63.8,31,Rabi,0
7.99,298.7407103,61.1,32,Kharif,1
1.24,86.64299099,58.4,33,Zaid,1
3.07,44.7804038,55.7,34,Rabi,1
15.28,72.2988774,53.0,35,Rabi,1
1.93,280.8376715,50.3,36,Kharif,1
